station,danger_start,danger_end,danger_crimes,danger_pct,weekday_peak,weekend_peak
DUNDAS,19,21,628,17.6,19,17
COLLEGE,22,0,511,15.8,0,1
QUEEN,14,16,541,17.7,15,14
WELLESLEY,23,1,395,16.3,0,2
BLOOR-YONGE,15,17,363,17.5,17,0
UNION,21,23,411,20.5,22,19
EGLINTON,18,20,296,17.5,20,0
SHERBOURNE,23,1,274,16.5,0,0
FINCH,7,9,320,19.8,8,0
VICTORIA PARK,18,20,277,19.4,0,20
ST ANDREW,0,2,310,23.5,0,2
KING,0,2,205,16.5,0,19
ST PATRICK,13,15,206,16.8,0,0
BAY,15,17,224,18.9,15,17
MAIN STREET,22,0,207,18.0,0,0
DON MILLS,18,20,264,23.0,18,19
OSGOODE,22,0,194,17.0,0,3
MCCOWAN,17,19,302,28.3,18,18
SHEPPARD-YONGE,22,0,195,18.4,0,0
YORKDALE,15,17,263,26.9,20,15
